Cycle,GDP,Population,GDPperCapita,Unemployment,Inflation
1,377.906,102,3.70496,6.86275,0
2,254.572,106,2.40163,5.66038,-4.81184
3,466.376,107,4.35865,1.86916,-2.00939
4,450.388,108,4.17026,0,-2.29191
5,286.117,109,2.62492,0,10.1993
6,346.246,110,3.14769,0,-7.34737
7,348.943,112,3.11556,0,2.37848
8,263.553,113,2.33232,0,5.74043
9,175.157,114,1.53646,0,-0.310206
10,118.251,114,1.03729,0,6.59713
11,382.117,115,3.32276,0,-13.5257
12,407.447,115,3.54302,0,0.942114
13,369.294,118,3.12961,0,4.57994
14,291.036,118,2.46641,0,-1.48893
15,330.722,118,2.80273,0,7.43783
16,273.662,118,2.31917,0,-5.18594
17,257.245,119,2.16172,0,0.26763
18,542.037,121,4.47964,0,-5.18125
19,504.633,121,4.17052,0,2.30703
20,275.972,121,2.28076,0,3.67865
21,266.584,121,2.20318,0,0.798277
22,333.483,122,2.73347,0,-2.46844
23,372.763,123,3.03059,0,-1.56804
24,388.236,123,3.15639,0,-1.71679
25,300.3,123,2.44146,0,3.61965
26,379.493,125,3.03594,0,3.04122
27,492.73,128,3.84946,0,-6.22729
28,194.598,128,1.5203,0,11.0764
29,521.912,129,4.04583,0,-10.6001
30,344.035,129,2.66694,0,3.74023
31,229.712,130,1.76702,0,7.18338
32,427.897,130,3.29152,0,-5.62044
33,236.241,130,1.81723,0,-1.41141
34,696.666,131,5.31806,0,-4.72562
35,351.033,131,2.67964,0,7.38329
36,256.661,131,1.95924,0,1.36521
37,536.154,132,4.06178,0,-4.25593
38,419.72,133,3.15579,0,-3.65126
39,241.772,135,1.7909,0,12.3263
40,417.033,137,3.04404,0,-5.48476
41,294.803,137,2.15185,0,-7.84994
42,261.549,140,1.8682,0,8.00673
43,492.213,141,3.49087,0,0.660785
44,520.723,144,3.61613,0,-5.22786
45,318.663,145,2.19767,0,4.90784
46,344.862,145,2.37836,0,4.48977
47,424.219,145,2.92565,0,-3.58581
48,572.988,146,3.92457,0,-3.89322
49,276.48,147,1.88081,0,9.09204
50,467.677,148,3.15998,0,-5.10862
51,584.132,149,3.92035,0,-6.89214
52,404.784,150,2.69856,0,5.86991
53,350.322,147,2.38314,0,0.50441
54,320.135,141,2.27046,0,-0.6009
55,368.781,137,2.69183,0,4.22449
56,190.251,125,1.52201,0,1.56613
57,508.305,121,4.20087,0,-8.06843
58,579.251,115,5.03696,0,-4.5223
59,355.98,113,3.15027,0,4.9467
60,331.612,103,3.21954,0,-0.736757
61,303.404,103,2.94567,0,7.32884
62,316.378,97,3.26163,0,-8.0954
63,331.327,90,3.68141,0,4.72497
64,117.235,84,1.39566,0,4.38132
65,350.168,82,4.27034,0,-12.1504
66,413.822,83,4.98581,0,7.14834
67,122.551,80,1.53189,0,11.0541
68,159.909,79,2.02416,0,-6.79763
69,265.323,76,3.49109,0,0.995539
70,250.849,75,3.34465,0,-7.46673
71,270.389,75,3.60518,0,1.32205
72,190.096,77,2.46878,0,9.8512
73,241.751,77,3.13963,0,-3.10612
74,281.215,77,3.65214,0,-2.28777
75,308.894,76,4.06439,0,-0.143041
76,454.57,77,5.90351,0,-4.77846
77,110.459,78,1.41614,0,14.7481
78,553.75,79,7.00949,0,-15.6661
79,221.713,80,2.77141,0,12.7398
80,91.7221,82,1.11856,0,4.80349
81,324.395,80,4.05494,0,-10.0834
82,276.342,77,3.58885,0,-1.45069
83,327.164,78,4.1944,0,2.33798
84,166.476,77,2.16202,0,7.22091
85,216.385,77,2.8102,0,-4.22517
86,117.301,77,1.52338,0,-1.9072
87,271.706,76,3.57507,0,3.49513
88,251.202,75,3.34936,0,-13.0936
89,92.9606,74,1.25622,0,15.6448
90,192.85,75,2.57134,0,-2.37468
91,252.675,74,3.41452,0,-3.1583
92,217.51,75,2.90013,0,1.53369
93,78.7723,74,1.06449,0,8.6467
94,165.103,76,2.17241,0,-9.17535
95,109.679,76,1.44315,0,4.89044
96,277.29,77,3.60117,0,0.0744289
97,270.376,77,3.51138,0,-6.39356
98,208.11,75,2.7748,0,1.27697
99,293.642,75,3.91523,0,1.16572
100,141.521,75,1.88694,0,6.43054
